Kode Barang;Nama Barang
FUR-BO-10000330;Sauder Camden County Barrister Bookcase, Planked Cherry Finish
FUR-BO-10000362;Sauder Inglewood Library Bookcases
FUR-BO-10000468;O'Sullivan 2-Shelf Heavy-Duty Bookcases
FUR-BO-10001337;O'Sullivan Living Dimensions 2-Shelf Bookcases
FUR-BO-10001519;O'Sullivan 3-Shelf Heavy-Duty Bookcases
FUR-BO-10001567;Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled
FUR-BO-10001601;Sauder Mission Library with Doors, Fruitwood Finish
FUR-BO-10001608;Hon Metal Bookcases, Black
FUR-BO-10001619;O'Sullivan Cherrywood Estates Traditional Bookcase
FUR-BO-10001798;Bush Somerset Collection Bookcase
FUR-BO-10001811;Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors
FUR-BO-10001918;Sauder Forest Hills Library with Doors, Woodland Oak Finish
FUR-BO-10001972;O'Sullivan 4-Shelf Bookcase in Odessa Pine
FUR-BO-10002202;Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors
FUR-BO-10002206;Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order
FUR-BO-10002213;Sauder Forest Hills Library, Woodland Oak Finish
FUR-BO-10002268;Sauder Barrister Bookcases
FUR-BO-10002545;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors
FUR-BO-10002598;Hon Metal Bookcases, Putty
FUR-BO-10002613;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors
FUR-BO-10002853;O'Sullivan 5-Shelf Heavy-Duty Bookcases
FUR-BO-10002916;"Rush Hierlooms Collection 1"" Thick Stackable Bookcases"
FUR-BO-10003034;O'Sullivan Elevations Bookcase, Cherry Finish
FUR-BO-10003159;Sauder Camden County Collection Libraries, Planked Cherry Finish
FUR-BO-10003404;Global Adaptabilites Bookcase, Cherry/Storm Gray Finish
FUR-BO-10003441;Bush Westfield Collection Bookcases, Fully Assembled
FUR-BO-10003450;Bush Westfield Collection Bookcases, Dark Cherry Finish
FUR-BO-10003546;Hon 4-Shelf Metal Bookcases
FUR-BO-10003660;Bush Cubix Collection Bookcases, Fully Assembled
FUR-BO-10003893;Sauder Camden County Collection Library
FUR-BO-10003894;Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black
FUR-BO-10003965;O'Sullivan Manor Hill 2-Door Library in Brianna Oak
FUR-BO-10003966;Sauder Facets Collection Library, Sky Alder Finish
FUR-BO-10004015;Bush Andora Bookcase, Maple/Graphite Gray Finish
FUR-BO-10004218;Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order
FUR-BO-10004357;O'Sullivan Living Dimensions 3-Shelf Bookcases
FUR-BO-10004409;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray
FUR-BO-10004467;Bestar Classic Bookcase
FUR-BO-10004695;O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
FUR-BO-10004709;Bush Westfield Collection Bookcases, Medium Cherry Finish
FUR-BO-10004834;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish
FUR-CH-10000015;Hon Multipurpose Stacking Arm Chairs
FUR-CH-10000155;Global Comet Stacking Armless Chair
FUR-CH-10000225;Global Geo Office Task Chair, Gray
FUR-CH-10000229;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
FUR-CH-10000309;Global Comet Stacking Arm Chair
FUR-CH-10000422;Global Highback Leather Tilter in Burgundy
FUR-CH-10000454;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back
FUR-CH-10000513;High-Back Leather Manager's Chair
FUR-CH-10000553;Metal Folding Chairs, Beige, 4/Carton
FUR-CH-10000595;Safco Contoured Stacking Chairs
FUR-CH-10000665;Global Airflow Leather Mesh Back Chair, Black
FUR-CH-10000749;Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
FUR-CH-10000785;Global Ergonomic Managers Chair
FUR-CH-10000847;Global Executive Mid-Back Manager's Chair
FUR-CH-10000863;Novimex Swivel Fabric Task Chair
FUR-CH-10000988;Hon Olson Stacker Stools
FUR-CH-10001146;Global Value Mid-Back Manager's Chair, Gray
FUR-CH-10001190;Global Deluxe High-Back Office Chair in Storm
FUR-CH-10001215;Global Troy Executive Leather Low-Back Tilter
FUR-CH-10001394;Global Leather Executive Chair
FUR-CH-10001482;Office Star - Mesh Screen back chair with Vinyl seat
FUR-CH-10001545;Hon Comfortask Task/Swivel Chairs
FUR-CH-10001708;Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back
FUR-CH-10001714;Global Leather & Oak Executive Chair, Burgundy
FUR-CH-10001797;Safco Chair Connectors, 6/Carton
FUR-CH-10001802;Hon Every-Day Chair Series Swivel Task Chairs
FUR-CH-10001854;Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fab
FUR-CH-10001891;Global Deluxe Office Fabric Chairs
FUR-CH-10001973;Office Star Flex Back Scooter Chair with White Frame
FUR-CH-10002017;SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair
FUR-CH-10002024;HON 5400 Series Task Chairs for Big and Tall
FUR-CH-10002126;Hon Deluxe Fabric Upholstered Stacking Chairs
FUR-CH-10002304;Global Stack Chair without Arms, Black
